zz	base	dV_V
-0.180000000    -4000.000000    0.000000000
0.027451975	118.3106127	0.001608986
0.027452939	118.309154	0.001608697
0.027454917	118.3061597	0.00160812
0.027816393	117.7600193	0.001505286
0.028062191	117.3896246	0.00143826
0.028080736	117.3617035	0.001433259
0.028095422	117.3395962	0.00142931
0.028619921	116.5522848	0.00129535
0.028623295	116.5472342	0.001294532
0.028709288	116.4185703	0.001273894
0.028967358	116.0331356	0.001214173
0.028971142	116.0274912	0.001213322
0.029206717	115.6766075	0.001161843
0.029398376	115.3918098	0.001122147
0.029513032	115.2215395	0.001098636
0.029621018	115.0612852	0.001076866
0.029642542	115.0293561	0.00107257
0.03005917	114.4121562	0.000992239
0.03032808	114.0146367	0.000943245
0.030406954	113.8981655	0.0009293
0.030458531	113.8220355	0.000920286
0.030575288	113.649761	0.00090016
0.030852294	113.2415817	0.000854301
0.031052655	112.9468464	0.000822695
0.031236283	112.6770408	0.000794723
0.031309994	112.5688209	0.000783763
0.03151883	112.2624798	0.000753543
0.032050821	111.4835781	0.000682103
0.032252261	111.1890162	0.000656302
0.032291689	111.1313973	0.000651384
0.03233908	111.0621576	0.000645522
0.032757143	110.4520155	0.000596111
0.032824575	110.3537149	0.000588529
0.032881631	110.2705637	0.000582198
0.033333031	109.6135053	0.000534823
0.033339121	109.6046507	0.000534217
0.033340016	109.6033502	0.000534128
0.033346227	109.5943196	0.000533511
0.033471573	109.4121247	0.00052125
0.033620324	109.1959993	0.000507006
0.033671939	109.1210268	0.000502142
0.033745697	109.0139096	0.000495259
0.034494948	107.927058	0.000429972
0.034514414	107.8988521	0.000428388
0.034552319	107.8439315	0.00042532
0.034844985	107.4200896	0.000402359
0.034905537	107.3324403	0.000397768
0.035116782	107.026784	0.000382186
0.035322172	106.7297473	0.000367503
0.035396983	106.6215971	0.000362299
0.035408449	106.6050252	0.000361519
0.035493826	106.4816437	0.000355753
0.035639178	106.2716409	0.000346116
0.03587918	105.9250295	0.000330689
0.036062585	105.6602782	0.000319313
0.036172139	105.5021877	0.000312707
0.03643969	105.1162731	0.000297168
0.036815508	104.574538	0.000276591
0.036816127	104.5736462	0.000276558
0.037119239	104.1370018	0.000260994
